latitude,longitude
-38.721182344,175.989767237
-38.721426573,175.990205455
-38.721621962,175.990894094
-38.721670817,175.991582738
-38.721377765,175.992333991
-38.721182394,175.993210444
-38.721180040,175.994027652
-38.721326590,175.994716526
-38.721473136,175.995217521
-38.721619677,175.995843760
-38.721815063,175.996407374
-38.722010444,175.996970985
-38.722352377,175.997033631
-38.722303509,175.997785082
-38.722156943,175.998473896
-38.722303465,175.998974868
-38.722694249,175.998849666
-38.723036182,175.998787076
-38.723182704,175.999225430
-38.723280340,176.000289972
-38.724012967,176.001417190
-38.724550215,176.002231293
-38.725233963,176.003358503
-38.725917753,176.003922155
-38.726650363,176.004673670
-38.727431818,176.005362577
-38.728115534,176.006364569
-38.729043549,176.006803040
-38.729727322,176.007304096
-38.730557595,176.008055657
-38.731339098,176.008306263
-38.731778667,176.008619435
-38.732316001,176.008494283
-38.732657981,176.008181233
-38.732902247,176.007993406
-38.733341975,176.007367248
-38.734025883,176.007116844
-38.734612081,176.006991671
-38.734953969,176.007304833
-38.735247090,176.007116994
-38.735589063,176.006929159
-38.735979898,176.006678698
-38.736468358,176.006866629
-38.737103393,176.006929322
-38.736907807,176.007993952
-38.736663460,176.008557551
-38.736419111,176.009121142
-38.736174810,176.009434228
-38.736174717,176.009935220
-38.735979218,176.010498799
-38.735783704,176.011124993
-38.735930102,176.011876492
-38.736174231,176.012440143
-38.736467206,176.013003807
-38.736760154,176.013692720
-38.737004330,176.014005889
-38.737346123,176.014694818
-38.737834516,176.015133300
-38.738273948,176.016072760
-38.738322683,176.016573757
-38.738127127,176.017262550
-38.737638536,176.017700759
-38.737247540,176.018577336
-38.737149798,176.018765168
-38.737003147,176.019203464
-38.736661060,176.019829550
-38.736270029,176.020831324
-38.735586042,176.021332023
-38.734951096,176.021081315
-38.734267353,176.020642742
-38.733632400,176.020454662
-38.733095080,176.020517083
-38.732362289,176.020955120
-38.731727177,176.021455795
-38.731092051,176.022019072
-38.730456846,176.022895398
-38.729675189,176.023458584
-38.729088910,176.024021838
-38.728307423,176.023958893
-38.727281687,176.024021063
-38.726597860,176.024083378
-38.726011755,176.024020517
-38.725531645,176.024691200
-38.725189525,176.025442410
-38.724847438,176.026068382
-38.724212298,176.026631593
-38.723626055,176.027006981
-38.723039954,176.026881476
-38.722698197,176.026317818
-38.722454193,176.025503764
-38.722161319,176.024752296
-38.722161479,176.024126182
-38.722063960,176.023437410
-38.721771008,176.022936382
-38.720989521,176.022748203
-38.720305707,176.022622675
-38.719866079,176.022685090
-38.719621703,176.023311084
-38.719563243,176.023816679
-38.719464544,176.024043748
-38.719267083,176.024192713
-38.719010278,176.023703872
-38.718852078,176.023420384
-38.718574825,176.023338151
-38.718336864,176.023333190
-38.718078727,176.023455470
-38.717780439,176.023730400
-38.717541455,176.024109133
-38.717381957,176.024438590
-38.717302091,176.024872002
-38.717222109,176.025612593
-38.717042345,176.026121761
-38.716882412,176.026606020
-38.716662379,176.026987475
-38.716422141,176.027164045
-38.716241750,176.027392775
-38.716121336,176.027776243
-38.716101137,176.028263459
-38.716121105,176.028571462
-38.715860082,176.028980044
-38.715659071,176.029286786
-38.715558422,176.029671451
-38.715357052,176.030184346
-38.715054775,176.030465979
-38.714691491,176.030696371
-38.714307324,176.030952882
-38.713922642,176.030565162
-38.713699613,176.030306413
-38.713456034,176.030021478
-38.713212143,176.029813705
-38.713008667,176.029683450
-38.713029128,176.029347590
-38.713110642,176.029038027
-38.713131083,176.028728117
-38.713131187,176.028366390
-38.713110940,176.028004472
-38.713111063,176.027565209
-38.713151848,176.027255596
-38.713192666,176.026791039
-38.713233418,176.026533224
-38.713294490,176.026301563
-38.713152174,176.026041273
-38.712785639,176.025855080
-38.712438853,176.025746507
-38.712071018,176.025689253
-38.711702516,176.025683751
-38.711456491,176.025654134
-38.711312824,176.025703883
-38.711210054,176.026091716
-38.711148251,176.026765845
-38.711107074,176.027076901
-38.710880817,176.027411989
-38.710551331,176.027694416
-38.710200733,176.027794956
-38.709911578,176.027818147
-38.709671865,176.027528090
-38.709451804,176.027213767
-38.709231485,176.026976041
-38.709010893,176.026866356
-38.708729761,176.026857303
-38.708508574,176.026952943
-38.708347492,176.027281899
-38.708004883,176.027579882
-38.707742420,176.028112387
-38.707520079,176.028543681
-38.707418905,176.028849926
-38.707337897,176.029208381
-38.707256834,176.029644273
-38.707236498,176.029978739
-38.707256593,176.030468796
-38.707276754,176.030726919
-38.707337282,176.031295043
-38.707519115,176.031813931
-38.707559398,176.032252442
-38.707579483,176.032639011
-38.707559076,176.033256560
-38.707437673,176.033615089
-38.707235389,176.033560351
-38.707073465,176.033377330
-38.706870815,176.033348217
-38.706444526,176.033521909
-38.706281820,176.033829209
-38.706220734,176.034060740
-38.706179896,176.034525112
-38.705854004,176.034934307
-38.705425612,176.035110049
-38.704894051,176.035155393
-38.704668765,176.035126749
-38.704237949,176.035199380
-38.703847372,176.035324597
-38.703456059,176.035450047
-38.703167275,176.035472795
-38.702816079,176.035468838
-38.702567819,176.035466041
-38.702212980,176.035475643
-38.701833390,176.035462836
-38.701613199,176.035762914
-38.701432803,176.036192784
-38.701232184,176.036648055
-38.701091547,176.037208180
-38.700930775,176.037639781
-38.700769953,176.037866302
-38.700488311,176.037986926
-38.700206274,176.038133424
-38.699964204,176.038306928
-38.699600551,176.038606187
-38.699155240,176.038903921
-38.698769778,176.039435983
-38.698607194,176.039845047
-38.698464827,176.040203238
-38.698322352,176.040587499
-38.698037252,176.040969134
-38.697812947,176.041326613
-38.697608848,176.041581370
-38.697322793,176.041886669
-38.697179607,176.042065372
-38.696905167,176.042266478
-38.696767053,176.042795936
-38.696727288,176.043608286
-38.696746771,176.044117292
-38.696569183,176.044468500
-38.696253132,176.044994632
-38.696114628,176.045398519
-38.696094838,176.045448965
-38.695916681,176.045801297
-38.695579893,176.046124900
-38.695381485,176.046401018
-38.695242377,176.046831740
-38.695202543,176.047111600
-38.695162524,176.047774294
-38.694963651,176.048179136
-38.694923831,176.048306111
-38.694645105,176.048710160
-38.694585369,176.048709199
-38.694326291,176.048756170
-38.694286407,176.048755533
-38.693927081,176.048800984
-38.693707150,176.048899933
-38.693506980,176.049050536
-38.693446805,176.049280242
-38.693286406,176.049559869
-38.693005556,176.049735502
-38.692905031,176.050067694
-38.692884769,176.050452325
-38.692864638,176.050554728
-38.692824297,176.050913542
-38.692442136,176.051269060
-38.692341357,176.051550687
-38.692341244,176.051781920
-38.692240449,176.052122828
-38.691963423,176.052572743
-38.691785131,176.052873212
-38.691784791,176.053535741
-38.691883590,176.053895120
-38.692002160,176.054178429
-38.691922877,176.054456576
-38.691586125,176.054601034
-38.691407596,176.054724115
-38.691209015,176.054923370
-38.691049910,176.055276914
-38.691069362,176.056068654
-38.691188222,176.056683613
-38.691188029,176.057040856
-38.691009084,176.057292751
-38.690989193,176.057317916
-38.690710600,176.057517203
-38.690650876,176.057516142
-38.690312085,176.057561263
-38.689912683,176.057810176
-38.689672640,176.058010976
-38.689412147,176.058467956
