station, lon_dec, lat_dec, z1, z2
WT174a, 424564.1327098042, 5720857.039800421, 245.42999999999995, 70.18999999999994
WT175a, 425190.47243384476, 5722548.231796349, -8.449999999999989, -362.66999999999996
WT177a, 424817.7259083348, 5722009.266805085, -47.139999999999986, -344.8299999999999
WT178a, 421128.1781354565, 5711767.578086023, -74.44, -651.26
WT179a, 425105.7156394623, 5724960.29053219, 8.129999999999995, -276.27
WT181a, 428850.6952731432, 5721478.034163428, 222.22, 21.25999999999999
WT182a, 424553.568309789, 5711941.627425498, -126.52999999999997, -416.80999999999995
WT183a, 425087.68617525534, 5723197.369954718, -127.57999999999993, -464.61
WT184a, 425022.44574075245, 5721293.171024469, 146.11000000000007, -36.77999999999986
WT185a, 425033.4560134463, 5718834.572991657, 203.77999999999997, -314.77
WT186a, 425824.0478431606, 5722168.832189021, -37.329999999999984, -470.14000000000004
WT188a, 426900.6761508346, 5725701.584413176, -294.84000000000003, -599.72
WT189a, 425787.6080541087, 5724142.321237523, -245.52000000000004, -686.54
WT190a, 427020.3265525048, 5723850.6028035395, -18.810000000000002, -454.7099999999999
WT191a, 425647.7252490042, 5722776.009855881, -74.45000000000005, -494.52
WT192a, 418899.91882862686, 5711697.123427247, 7.660000000000025, -621.8799999999999
